threshold,precision,recall,f1,n_flagged
0.1,0.2275,1.0,0.37067209775967414,1200
0.12,0.2275,1.0,0.37067209775967414,1200
0.14,0.2275,1.0,0.37067209775967414,1200
0.16,0.2275,1.0,0.37067209775967414,1200
0.18,0.2275,1.0,0.37067209775967414,1200
0.2,0.2275,1.0,0.37067209775967414,1200
0.22,0.2268557130942452,0.9963369963369964,0.3695652173913043,1199
0.24,0.22837951301427373,0.9963369963369964,0.37158469945355194,1191
0.26,0.2277730736663844,0.9853479853479854,0.3700137551581843,1181
0.28,0.23209663503019845,0.9853479853479854,0.3756983240223464,1159
0.3,0.23392857142857143,0.9597069597069597,0.37616654702081836,1120
0.32,0.23404255319148937,0.9267399267399268,0.37370753323485967,1081
0.34,0.24174757281553397,0.9120879120879121,0.3821949347659248,1030
0.36,0.2479591836734694,0.8901098901098901,0.38786911412609737,980
0.38,0.2559652928416486,0.8644688644688645,0.39497907949790795,922
0.4,0.2638888888888889,0.8351648351648352,0.40105540897097625,864
0.42,0.2692307692307692,0.7948717948717948,0.40222428174235403,806
0.44,0.28010825439783493,0.7582417582417582,0.4090909090909091,739
0.46,0.28335832083958024,0.6923076923076923,0.4021276595744681,667
0.48,0.28689883913764513,0.6336996336996337,0.3949771689497717,603
0.5,0.2964352720450281,0.5787545787545788,0.3920595533498759,533
0.52,0.3184855233853007,0.5238095238095238,0.3961218836565097,449
0.54,0.31958762886597936,0.4542124542124542,0.3751891074130106,388
0.56,0.32335329341317365,0.3956043956043956,0.35584843492586493,334
0.58,0.33448275862068966,0.3553113553113553,0.34458259325044405,290
0.6,0.3387096774193548,0.3076923076923077,0.32245681381957775,248
0.62,0.390625,0.27472527472527475,0.3225806451612903,192
0.64,0.42483660130718953,0.23809523809523808,0.3051643192488263,153
0.66,0.415929203539823,0.17216117216117216,0.24352331606217617,113
0.68,0.36904761904761907,0.11355311355311355,0.17366946778711484,84
0.7,0.39622641509433965,0.07692307692307693,0.12883435582822086,53
0.72,0.46153846153846156,0.04395604395604396,0.0802675585284281,26
0.74,0.38461538461538464,0.018315018315018316,0.03496503496503497,13
0.76,0.375,0.01098901098901099,0.021352313167259787,8
0.78,0.25,0.003663003663003663,0.007220216606498195,4
0.8,0.0,0.0,0.0,3
0.82,0.0,0.0,0.0,2
0.84,0.0,0.0,0.0,2
0.86,0.0,0.0,0.0,2
0.88,0.0,0.0,0.0,1
0.9,0.0,0.0,0.0,0
