subgroup,n_test,actual_returns,flagged,tp,fp,fn,precision,recall,f1
Apparel,385,100,164,52,112,48,0.3170731707317073,0.52,0.3939393939393939
Beauty,116,31,40,19,21,12,0.475,0.6129032258064516,0.5352112676056339
Electronics,261,52,70,23,47,29,0.32857142857142857,0.4423076923076923,0.3770491803278688
Footwear,217,56,91,33,58,23,0.3626373626373626,0.5892857142857143,0.4489795918367347
Home,221,34,98,23,75,11,0.23469387755102042,0.6764705882352942,0.3484848484848485
